LEVERAGE,PROFIT_MARGIN,LIQUIDITY_RATIO,HIGH_YIELD_OAS,IG_OAS,TED_SPREAD,VIX,FED_FUNDS,expected_value
0.0,1.734723475976807e-18,1.5178830414797062e-18,-0.03324363964929943,0.00853378912773527,6.505213034913027e-19,0.01050422586335723,-0.0182854529665201,0.5
0.0,8.91055911786745e-07,4.336808689942018e-18,-0.011162518961510309,-0.1006137410386,8.673617379884035e-19,0.0018187418221496043,0.06533408063875201,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,8.91055911786745e-07,4.336808689942018e-18,-0.011162518961510309,-0.1006137410386,8.673617379884035e-19,0.0018187418221496043,0.06533408063875201,0.5
0.0,1.1031764249038942e-06,1.0842021724855044e-18,-0.03321562790243963,0.008474088167907519,6.505213034913027e-19,0.010506248564828036,-0.018256889631447847,0.5
0.0,1.845421114331225e-06,6.505213034913027e-19,-0.13150510287310074,0.03803814052788464,1.5178830414797062e-18,-0.03705216689044999,0.09281188755674517,0.5
0.0,0.0,2.168404344971009e-19,-0.007063878295787919,-0.01963541547961842,0.0,0.0015394940782183157,-0.01946274678610886,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,-1.4844893788052219e-06,1.8648277366750676e-17,-0.023401152594112018,0.11103682767784147,4.336808689942018e-19,-0.27714502515436235,0.16008940266047528,0.5
0.0,1.845421114324286e-06,6.505213034913027e-19,-0.12371621885734693,0.04590070066381786,6.505213034913027e-19,-0.053715516558634886,0.10289833295071733,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,8.910559117832756e-07,1.3010426069826053e-18,-0.010882358055639385,-0.10137386399375586,1.3010426069826053e-18,0.0021852050343683623,0.06544757947581821,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,6.854359526180243e-07,-4.336808689942018e-19,-0.007184862621361387,-0.01946356302243656,-4.336808689942018e-19,0.0013872154984467977,-0.01936202177389835,0.5
0.0,7.494732271783391e-07,1.734723475976807e-18,-0.01360737620453195,0.10916697710220853,-4.336808689942018e-19,0.011910113901171523,-0.1520003653467864,0.5
0.0,6.854359526180243e-07,-8.673617379884035e-19,-0.0011639817747830714,-0.022755413955504372,-1.0842021724855044e-18,0.001948266700880292,-0.022652102889842343,0.5
0.0,0.0,-2.168404344971009e-18,-0.003974990480152579,-0.10245919689128642,-2.168404344971009e-18,-0.0046945645157635855,0.06650620540390564,0.5
0.0,9.804816607054956e-07,-4.553649124439119e-18,0.05571409455888595,0.2602230370580218,5.854691731421724e-18,0.1549411822304441,0.434910639813946,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,8.91055911786745e-07,4.336808689942018e-18,-0.011162518961510309,-0.1006137410386,8.673617379884035e-19,0.0018187418221496043,0.06533408063875201,0.5
0.0,8.665991481403637e-07,1.734723475976807e-18,-0.01872021811053855,0.011840608933998738,2.168404344971009e-19,0.008169270066913065,-0.04547247667146924,0.5
0.0,6.854359526180243e-07,-4.336808689942018e-19,-0.007184862621361387,-0.01946356302243656,-4.336808689942018e-19,0.0013872154984467977,-0.01936202177389835,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,6.854359526206263e-07,-4.336808689942018e-19,-0.007003354419915315,-0.020483304031076826,0.0,0.0031656391354044893,-0.020302212603661853,0.5
0.0,6.854359526180243e-07,-4.336808689942018e-19,-0.007184862621361387,-0.01946356302243656,-4.336808689942018e-19,0.0013872154984467977,-0.01936202177389835,0.5
0.0,8.910559117832756e-07,1.3010426069826053e-18,-0.010882358055639385,-0.10137386399375586,1.3010426069826053e-18,0.0021852050343683623,0.06544757947581821,0.5
0.0,6.85435952619759e-07,-8.673617379884035e-19,0.0038560399050281092,-0.024428754515441437,-1.0842021724855044e-18,0.0002749261409432317,-0.024325443449779407,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,8.910559117832756e-07,1.3010426069826053e-18,-0.010882358055639385,-0.10137386399375586,1.3010426069826053e-18,0.0021852050343683623,0.06544757947581821,0.5
0.0,8.910559117832756e-07,1.3010426069826053e-18,-0.010882358055639385,-0.10137386399375586,1.3010426069826053e-18,0.0021852050343683623,0.06544757947581821,0.5
0.0,6.854359526180243e-07,-4.336808689942018e-19,-0.007184862621361387,-0.01946356302243656,-4.336808689942018e-19,0.0013872154984467977,-0.01936202177389835,0.5
0.0,-8.673617379884035e-19,-6.505213034913027e-19,-0.007184681458165865,-0.01946338185924104,-4.336808689942018e-19,0.0013873966616423177,-0.019361879827532295,0.5
0.0,-7.806255641895632e-18,3.2526065174565133e-18,0.005765931926434858,0.10957697332409833,0.0,0.01203453943637821,-0.17179466550898115,0.5
