symbol,date,totalAssets_bal,netIncome_inc,totalRevenue_inc,cashAndShortTermInvestments_bal,Sector,Region
WMT,2024-01-31,252399000000.0,15511000000.0,648125000000.0,9867000000.0,Consumer Defensive,United States
WMT,2025-01-31,260823000000.0,19436000000.0,680985000000.0,9037000000.0,Consumer Defensive,United States
KO,2020-12-31,,,,,Consumer Defensive,United States
KO,2021-12-31,94354000000.0,9771000000.0,38655000000.0,9684000000.0,Consumer Defensive,United States
KO,2022-12-31,92763000000.0,9542000000.0,43004000000.0,9519000000.0,Consumer Defensive,United States
KO,2023-12-31,97703000000.0,10714000000.0,45754000000.0,9366000000.0,Consumer Defensive,United States
KO,2024-12-31,100549000000.0,10631000000.0,47061000000.0,10828000000.0,Consumer Defensive,United States
GE,2020-12-31,,,,,Industrials,United States
GE,2021-12-31,198874000000.0,-6337000000.0,56469000000.0,15770000000.0,Industrials,United States
GE,2022-12-31,188851000000.0,336000000.0,29139000000.0,15810000000.0,Industrials,United States
GE,2023-12-31,173300000000.0,9482000000.0,35348000000.0,15204000000.0,Industrials,United States
GE,2024-12-31,123140000000.0,6556000000.0,38702000000.0,13619000000.0,Industrials,United States
CAT,2021-12-31,82793000000.0,6489000000.0,50971000000.0,9254000000.0,Industrials,United States
CAT,2022-12-31,81943000000.0,6705000000.0,59427000000.0,7004000000.0,Industrials,United States
CAT,2023-12-31,87476000000.0,10335000000.0,67060000000.0,6978000000.0,Industrials,United States
CAT,2024-12-31,87764000000.0,10792000000.0,64809000000.0,6889000000.0,Industrials,United States
XOM,2021-12-31,338923000000.0,23040000000.0,276692000000.0,6802000000.0,Energy,United States
XOM,2022-12-31,369067000000.0,55740000000.0,398675000000.0,29640000000.0,Energy,United States
XOM,2023-12-31,376317000000.0,36010000000.0,334697000000.0,31539000000.0,Energy,United States
XOM,2024-12-31,453475000000.0,33680000000.0,339247000000.0,23029000000.0,Energy,United States
